Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Lodwar,41,KE,1571813457,49,3.12,35.6,302.66,2.72
Riverton,40,US,1571813457,86,43.02,-108.38,276.48,8.2
Panama City,1,US,1571813457,48,30.16,-85.65,290.15,4.1
Maumere,63,ID,1571813457,60,-8.63,122.22,301.59,3.94
Tungor,100,RU,1571813458,71,53.39,142.95,278.44,9.53
Prince Rupert,90,CA,1571813458,93,54.32,-130.32,281.15,2.6
Show Low,1,US,1571813458,47,34.25,-110.03,277.59,2.35
Popondetta,100,PG,1571813459,95,-8.77,148.24,293.0,0.42
Ust-Nera,92,RU,1571813459,99,64.57,143.24,252.87,1.19
Tandil,83,AR,1571813459,83,-37.33,-59.14,282.59,2.68
Takoradi,100,GH,1571813459,88,4.89,-1.75,298.06,3.1
Banda Aceh,52,ID,1571813357,80,5.56,95.32,301.32,1.9
Cururupu,43,BR,1571813460,98,-1.82,-44.87,294.52,0.2
Ibiruba,63,BR,1571813460,94,-28.63,-53.09,284.89,2.51
Saint-Joseph,59,FR,1571813461,47,43.56,6.97,297.15,4.6
Skeldon,8,GY,1571813461,80,5.88,-57.13,300.62,5.71
Flinders,0,AU,1571813461,60,-34.58,150.85,300.93,5.1
Avare,11,BR,1571813461,94,-23.1,-48.93,288.94,5.42
Domna,40,RU,1571813462,31,51.9,113.16,274.15,8.0
Adrar,0,DZ,1571813462,26,27.87,-0.29,289.15,2.1
Miraflores,0,PE,1571813463,43,-16.39,-71.52,283.15,2.1
Sioux Lookout,90,CA,1571813463,96,50.1,-91.92,274.15,5.7
Denpasar,20,ID,1571813420,79,-8.65,115.22,303.15,2.6
Whitehorse,20,CA,1571813463,79,60.72,-135.06,271.15,6.2
Dwarka,0,IN,1571813464,45,28.58,77.04,303.15,2.6
Batagay-Alyta,100,RU,1571813464,95,67.8,130.41,263.12,0.79
Westerland,90,NL,1571813464,100,52.89,4.93,283.15,2.6
Digoin,90,FR,1571813465,93,46.48,3.98,286.15,2.1
Hovd,75,NO,1571813465,86,63.83,10.7,278.71,3.1
Myitkyina,6,MM,1571813465,46,25.38,97.4,305.51,0.66
Wanning,75,AT,1571813466,100,48.64,13.53,287.04,1.0
Misratah,1,LY,1571813466,72,32.38,15.09,295.55,5.53
Ixtapa,90,MX,1571813466,88,20.71,-105.21,298.71,4.1
Vigrestad,75,NO,1571813466,87,58.57,5.7,284.26,4.1
Kaputa,85,ZM,1571813467,73,-8.47,29.66,296.76,1.1
Hobyo,16,SO,1571813467,64,5.35,48.53,301.91,5.12
Nadym,79,RU,1571813467,91,65.53,72.51,268.06,5.87
Lagos,40,NG,1571813175,94,6.46,3.39,297.15,2.1
Port Hardy,5,CA,1571813468,93,50.7,-127.42,278.15,2.1
Havelock,40,US,1571813468,88,34.88,-76.9,294.15,4.1
Matamoros,1,US,1571813418,73,25.87,-97.51,298.15,3.1
Glen Cove,90,US,1571813426,93,40.86,-73.63,291.48,5.1
Zhangye,83,CN,1571813469,60,38.94,100.46,278.8,7.83
Sola,0,TZ,1571813469,53,-3.17,33.8,297.77,2.95
Rome,82,IT,1571812898,87,41.89,12.48,291.48,1.5
Ondarroa,75,ES,1571813470,100,43.32,-2.42,286.15,1.5
Livramento,40,BR,1571813470,88,-3.03,-60.18,298.15,1.0
Sistranda,75,NO,1571813471,93,63.73,8.83,278.71,4.6
Sambava,64,MG,1571813471,52,-14.27,50.17,303.64,1.44
Semirom,10,IR,1571813471,33,31.41,51.57,287.52,3.63
Puerto Escondido,32,MX,1571813472,92,15.86,-97.07,294.34,1.29
Riyadh,0,SA,1571813333,22,24.63,46.72,305.15,1.0
Tarakan,40,ID,1571813458,70,3.3,117.63,304.15,1.5
Jiazi,0,CN,1571813472,55,19.61,110.49,304.15,4.0
Atambua,27,ID,1571813472,48,-9.11,124.89,302.36,3.15
Thul,0,PK,1571813473,43,28.24,68.77,305.15,2.42
Kruisfontein,50,ZA,1571813473,66,-34.0,24.73,288.98,11.23
Port Lincoln,0,AU,1571813473,29,-34.72,135.86,299.38,4.63
Taltal,30,CL,1571813474,95,-25.41,-70.49,282.9,0.68
Vostok,0,RU,1571813474,44,46.45,135.83,281.55,3.0
Vagay,100,RU,1571813474,81,57.94,69.02,273.64,3.37
Inuvik,90,CA,1571813474,92,68.36,-133.71,266.15,1.5
Entre Rios,69,BR,1571813475,82,-11.94,-38.08,296.29,2.3
Rio Brilhante,0,BR,1571813475,73,-21.8,-54.54,288.87,1.42
Batagay,92,RU,1571813475,88,67.65,134.64,259.21,0.38
Balad,100,ID,1571813475,26,-6.76,108.42,308.41,2.16
Faanui,12,PF,1571813476,70,-16.48,-151.75,300.15,3.03
Mayumba,16,GA,1571813476,88,-3.44,10.65,298.76,2.46
Goma,64,CD,1571813476,93,-1.67,29.23,288.25,0.77
Abnub,2,EG,1571813477,73,27.27,31.15,294.15,2.6
Santa Maria,20,BR,1571813477,83,-16.02,-48.01,294.15,1.0
Casper,90,US,1571813402,69,42.87,-106.31,276.15,8.7
Oistins,40,BB,1571813477,78,13.07,-59.53,300.15,5.7
Quatre Cocos,40,MU,1571813478,78,-20.21,57.76,299.15,5.1
Husavik,100,CA,1571813478,90,50.56,-96.99,274.26,4.92
Sorland,75,NO,1571813478,80,67.67,12.69,278.15,8.7
Cuencame,9,MX,1571813479,59,24.87,-103.7,291.83,1.12
Nizhniy Odes,100,RU,1571813479,93,63.64,54.86,272.31,6.01
Abalak,2,NE,1571813479,19,15.46,6.28,301.64,6.18
Talcahuano,0,CL,1571813479,93,-36.72,-73.12,282.15,2.6
Malaya Purga,100,RU,1571813480,85,56.55,53.01,275.37,0.89
Maanshan,85,CN,1571813480,41,31.7,118.5,297.15,2.0
Shudayag,100,RU,1571813480,96,63.53,53.61,273.64,6.0
Campo Maior,43,BR,1571813481,79,-4.83,-42.16,296.87,1.85
Bulgan,9,MN,1571813481,72,48.81,103.53,268.54,1.31
Hay River,75,CA,1571813481,76,60.82,-115.79,273.15,3.6
Oil City,1,US,1571813482,75,41.43,-79.71,281.15,3.1
Praia da Vitoria,75,PT,1571813482,88,38.73,-27.07,292.15,7.55
Uvat,100,RU,1571813482,77,59.14,68.9,272.67,3.96
Guanica,14,PR,1571813483,90,17.97,-66.91,298.15,1.41
Marsh Harbour,51,BS,1571813483,76,26.54,-77.06,300.15,2.35
Tocopilla,0,CL,1571813483,18,-22.09,-70.2,280.86,1.68
Casas Grandes,0,MX,1571813484,33,30.15,-110.24,290.42,1.42
Byron Bay,0,AU,1571813484,56,-28.65,153.62,300.15,5.1
Hengyang,100,CN,1571813484,66,26.89,112.6,294.43,2.78
Sao Geraldo do Araguaia,100,BR,1571813485,95,-6.4,-48.55,295.27,1.09
Shache,100,CN,1571813485,98,38.42,77.24,284.26,5.38
Inirida,1,CO,1571813485,91,3.87,-67.92,295.84,0.86
Buraydah,100,SA,1571813485,29,26.33,43.97,299.15,3.6
Vilhena,9,BR,1571813486,90,-12.74,-60.15,293.89,0.69
Cam Ranh,20,VN,1571813486,70,11.92,109.15,305.15,5.7
Neapolis,1,US,1571813486,100,35.71,-86.98,283.71,2.69
Sisimiut,28,GL,1571813487,63,66.94,-53.67,268.34,2.33
Mahibadhoo,100,MV,1571813487,76,3.78,72.97,301.21,5.11
Borujerd,35,IR,1571813487,71,33.89,48.76,292.15,0.5
Lahaina,40,US,1571813487,61,20.87,-156.68,300.15,6.7
Bara,48,NG,1571813488,79,10.41,10.6,297.39,1.92
Campbell River,20,CA,1571813345,75,50.02,-125.24,281.15,2.6
Aksarka,32,RU,1571813488,88,66.56,67.8,265.75,3.79
Nouakchott,35,MR,1571813488,43,18.08,-15.98,294.15,6.7
Codrington,0,AU,1571813489,47,-28.95,153.24,300.15,6.7
Copiapo,90,CL,1571813489,76,-27.37,-70.33,287.15,2.1
Mayo,5,CA,1571813489,92,63.59,-135.9,266.15,1.0
Sibolga,64,ID,1571813265,63,1.74,98.78,302.38,2.15
Madaoua,63,NE,1571813490,21,14.07,5.96,302.09,4.3
Rio Gallegos,78,AR,1571813490,86,-51.62,-69.22,278.15,1.5
Alta Floresta,61,BR,1571813491,86,-9.87,-56.08,295.52,1.3
Verkhnyaya Inta,100,RU,1571813491,84,65.99,60.32,269.68,3.87
Diffa,25,NE,1571813491,21,13.32,12.61,301.91,3.77
Santa Cruz,18,BR,1571813491,97,-6.22,-36.02,293.09,1.0
Uddevalla,75,SE,1571813198,87,58.35,11.94,284.82,4.6
Naze,100,NG,1571813492,94,5.43,7.07,296.5,1.2
Shelburne,75,CA,1571813401,75,44.08,-80.2,282.15,3.6
Amapa,75,HN,1571813492,88,15.09,-87.97,298.15,2.6
Sangar,92,RU,1571813493,88,63.92,127.47,265.75,2.39
Mazamari,100,PE,1571813493,93,-11.33,-74.53,288.99,1.31
Benicarlo,61,ES,1571813493,92,40.42,0.43,282.59,4.76
Isakly,95,RU,1571813494,79,54.13,51.53,279.1,3.77
Vila Velha,20,BR,1571813494,83,-3.71,-38.6,298.15,2.1
Pontes e Lacerda,78,BR,1571813494,94,-15.23,-59.33,294.51,0.44
Sinnamary,30,GF,1571813495,82,5.38,-52.96,300.13,5.14
Grand-Santi,26,GF,1571813495,99,4.27,-54.38,294.73,0.49
Mabaruma,2,GY,1571813495,99,8.2,-59.78,295.58,0.84
Coquimbo,90,CL,1571813495,87,-29.95,-71.34,287.04,2.6
Tazovskiy,100,RU,1571813496,97,67.47,78.7,271.27,0.81
Batie,24,FR,1571813496,93,45.06,5.82,287.59,2.1
Puqi,100,CN,1571813496,79,29.72,113.88,289.67,0.76
Anloga,20,GH,1571813497,88,5.79,0.9,299.15,2.6
Ambulu,35,ID,1571813497,87,-8.35,113.61,298.43,6.31
Ballyshannon,100,IE,1571813497,87,54.5,-8.19,283.71,5.81
Iskateley,100,RU,1571813497,97,67.68,53.15,271.34,4.77
Sacramento,1,US,1571813495,59,38.58,-121.49,292.59,0.62
Roswell,1,US,1571813498,49,33.39,-104.52,285.15,3.1
Havoysund,75,NO,1571813498,64,71.0,24.66,274.15,10.8
Wenling,82,CN,1571813499,76,28.38,121.38,301.48,3.9
Paso de Carrasco,0,UY,1571813499,81,-34.86,-56.05,286.48,1.5
Crib Point,0,AU,1571813499,56,-38.35,145.2,300.93,0.93
Katherine,18,AU,1571813499,13,-14.47,132.26,310.15,3.6
Bulungu,97,CD,1571813500,93,-4.54,18.6,296.48,0.85
Itarema,24,BR,1571813500,96,-2.92,-39.92,294.17,1.93
Itaituba,38,BR,1571813500,81,-4.26,-55.99,295.22,0.31
Micheweni,0,TZ,1571813501,83,-4.97,39.83,300.16,2.78
Huilong,23,CN,1571813501,63,31.15,106.5,294.63,2.45
Tulancingo,98,MX,1571813501,97,20.08,-98.36,284.16,2.25
Isla Mujeres,90,MX,1571813501,100,21.23,-86.73,298.15,3.1
Yerbogachen,65,RU,1571813502,64,61.28,108.01,268.34,2.52
Kaeo,48,NZ,1571813502,87,-35.1,173.78,284.82,8.54
Tiksi,0,RU,1571813502,89,71.64,128.87,256.92,3.47
Tigil,0,RU,1571813503,81,57.8,158.67,267.58,3.24
